tmdbId	count
100	1
10000	1
10001	1
100010	1
10002	1
10003	1
100032	1
100033	1
10004	1
100042	1
100046	1
10005	1
10006	1
100063	1
10007	1
10008	1
100085	1
100089	1
10009	1
10010	1
10011	1
100110	1
10012	1
100122	1
10013	1
10014	1
10015	1
10016	1
100167	1
10017	1
10018	1
100183	1
10019	1
100196	1
10020	1
10021	1
10022	1
100224	1
10023	1
10024	1
100241	1
100246	1
10025	1
100257	1
10027	1
100270	1
100271	1
10028	1
100287	1
10029	1
100292	1
10030	1
10032	1
10033	1
10034	1
100341	1
10035	1
10036	1
10040	1
100402	1
100409	1
10041	1
100416	1
100420	1
10044	1
10045	1
100450	1
10046	1
100461	1
10047	1
10048	1
10049	1
100493	1
10050	1
10051	1
10052	1
100526	1
100529	1
10053	1
100532	1
10054	1
100544	1
10056	1
100568	1
10057	1
100592	1
100594	1
10060	1
100605	1
10061	1
10063	1
100632	1
10064	1
10065	1
100656	1
10066	1
100661	1
10067	1
10068	1
100681	1
100683	1
10069	1
10070	1
10071	1
10072	1
10073	1
10074	1
100747	1
10075	1
10077	1
100776	1
10078	1
100784	1
100794	1
10081	1
100812	1
100814	1
100825	1
10083	1
10085	1
10086	1
10087	1
10089	1
100894	1
100898	1
10090	1
100910	1
100914	1
10092	1
10093	1
10096	1
10097	1
100973	1
100975	1
10098	1
101	1
101006	1
10102	1
10103	1
10105	1
10107	1
10110	1
10111	1
10112	1
101124	1
101135	1
10115	1
10116	1
10117	1
101173	1
101179	1
10118	1
10119	1
10120	1
10122	1
101226	1
101230	1
101231	1
101242	1
10126	1
101267	1
10127	1
10128	1
101288	1
101289	1
101297	1
101299	1
10130	1
101307	1
101308	1
10131	1
10132	1
101325	1
10133	1
101330	1
101338	1
10134	1
101342	1
10135	1
101352	1
10136	1
101362	1
101363	1
10137	1
101376	1
10138	1
101382	1
101383	1
10139	1
10140	1
10141	1
10142	1
101422	1
10144	1
101449	1
10145	1
10147	1
101482	1
10149	1
10150	1
101501	1
101517	1
101519	1
10152	1
101520	1
10153	1
10154	1
10155	1
101557	1
10156	1
10157	1
10158	1
10159	1
10160	1
101609	1
10161	1
10162	1
10163	1
10164	1
10165	1
101653	1
10166	1
101660	1
10167	1
10168	1
10169	1
10170	1
10171	1
10172	1
10173	1
101731	1
10174	1
101740	1
10176	1
10177	1
10178	1
10179	1
101791	1
1018	1
10180	1
101803	1
10183	1
101838	1
10184	1
10185	1
10186	1
101860	1
10187	1
10188	1
101887	1
10189	1
101897	1
10190	1
101904	1
101908	1
10191	1
10192	1
101929	1
10193	1
10195	1
10196	1
10197	1
10198	1
10199	1
101998	1
102	1
10200	1
102000	1
102001	1
10201	1
10202	1
102024	1
10204	1
10205	1
102057	1
102059	1
10206	1
10207	1
102078	1
10208	1
102081	1
10209	1
102091	1
10210	1
10212	1
10213	1
10214	1
102144	1
10215	1
10216	1
10217	1
10218	1
10219	1
102195	1
10220	1
102207	1
10222	1
102227	1
10223	1
102234	1
10225	1
10226	1
10227	1
102272	1
10228	1
102286	1
10229	1
1023	1
102304	1
102305	1
10232	1
102331	1
10234	1
10235	1
10236	1
102362	1
10237	1
10238	1
102382	1
102384	1
10239	1
1024	1
102406	1
10241	1
102419	1
10242	1
102420	1
10243	1
102431	1
10244	1
10246	1
102461	1
10247	1
102488	1
102489	1
10249	1
102517	1
102524	1
102527	1
10253	1
102534	1
10254	1
102541	1
10258	1
10261	1
10263	1
102630	1
102639	1
10264	1
102640	1
102651	1
102668	1
10268	1
10269	1
102691	1
102699	1
10271	1
10272	1
102732	1
10274	1
10275	1
10276	1
10278	1
102780	1
102784	1
10279	1
10280	1
102807	1
102809	1
10281	1
10283	1
102841	1
10285	1
102851	1
102855	1
102862	1
102867	1
102878	1
10288	1
102913	1
10292	1
10293	1
102933	1
10294	1
102947	1
10296	1
10297	1
10299	1
103	1
10303	1
10304	1
10305	1
10306	1
10307	1
10308	1
103081	1
10309	1
10310	1
10311	1
10312	1
10313	1
10314	1
10315	1
10316	1
103161	1
103162	1
103168	1
103173	1
10319	1
103195	1
103198	1
10320	1
103201	1
103203	1
103205	1
10322	1
10323	1
103236	1
10324	1
103243	1
10326	1
103269	1
10327	1
10328	1
10329	1
103299	1
10330	1
10331	1
103328	1
10333	1
103332	1
10336	1
10337	1
103370	1
10338	1
10339	1
10340	1
10341	1
103413	1
10342	1
103425	1
103432	1
10344	1
10345	1
10347	1
103475	1
10348	1
103488	1
103489	1
10349	1
10350	1
10351	1
103516	1
103528	1
10353	1
10354	1
10355	1
10356	1
10357	1
10358	1
103590	1
103597	1
10360	1
10361	1
10362	1
103620	1
10363	1
10364	1
103640	1
103648	1
10366	1
103663	1
103667	1
103678	1
10368	1
103686	1
103689	1
103707	1
10371	1
103713	1
103717	1
10372	1
10373	1
103731	1
103732	1
103734	1
103740	1
103742	1
103745	1
103747	1
10375	1
103751	1
103758	1
10376	1
10377	1
10378	1
10379	1
103793	1
10380	1
10381	1
10383	1
10384	1
10385	1
10386	1
10387	1
103875	1
10388	1
10389	1
103894	1
1039	1
10390	1
103902	1
10391	1
10393	1
10394	1
10395	1
10396	1
103960	1
10397	1
103970	1
103971	1
103972	1
10398	1
10399	1
104	1
1040	1
10400	1
10401	1
10402	1
10403	1
10404	1
10406	1
104062	1
10407	1
10408	1
104083	1
104086	1
10409	1
10410	1
104103	1
10411	1
10412	1
10413	1
10414	1
104155	1
10416	1
10419	1
104193	1
10420	1
104221	1
10423	1
104237	1
10424	1
104241	1
10425	1
104250	1
104251	1
10426	1
10427	1
104275	1
10428	1
10429	1
104301	1
104306	1
10431	1
104310	1
10432	1
104320	1
104329	1
10433	1
104334	1
10434	1
104343	1
10435	1
10436	1
104364	1
10437	1
104378	1
10438	1
10439	1
104394	1
104396	1
104398	1
10440	1
10442	1
10443	1
104430	1
104433	1
104435	1
104439	1
104449	1
10445	1
104465	1
10447	1
10448	1
104485	1
10449	1
104505	1
10451	1
10452	1
104528	1
104549	1
104556	1
104557	1
104602	1
104606	1
10461	1
10462	1
104634	1
104638	1
10464	1
104659	1
10466	1
10467	1
10468	1
10469	1
10470	1
10471	1
104710	1
104711	1
10472	1
104720	1
10473	1
104732	1
104739	1
10474	1
104744	1
10475	1
104755	1
10476	1
10477	1
104776	1
10478	1
10479	1
10480	1
10481	1
10482	1
10483	1
10484	1
104848	1
10485	1
104859	1
10486	1
104866	1
104871	1
104878	1
10488	1
104880	1
10489	1
104896	1
1049	1
10490	1
10491	1
10493	1
104931	1
10494	1
10495	1
10496	1
10497	1
10498	1
10499	1
104997	1
105	1
1050	1
105001	1
10501	1
10502	1
105024	1
10503	1
105045	2
105067	1
105077	1
1051	1
10510	1
10511	1
10513	1
105130	1
10514	1
105145	1
105149	1
10515	1
105158	1
105168	1
10518	1
1052	1
10520	1
10521	1
105210	1
10523	1
105232	1
10525	1
10527	1
10528	1
105287	1
10529	1
105299	1
10530	1
10531	1
10533	1
10534	1
105347	1
105348	1
10535	1
10536	1
10537	1
105371	1
10538	1
105384	1
10539	1
10540	1
10541	1
105419	1
10542	1
10543	1
10544	1
105448	1
10545	1
10546	1
10547	1
10548	1
10549	1
10550	1
10551	1
10552	1
105526	1
10553	1
105531	1
105536	1
105538	1
105548	1
10555	1
105554	1
105567	1
10557	1
105583	1
105586	1
10559	1
10560	1
10562	1
105627	1
10563	1
10564	1
10565	1
10567	1
105676	1
105678	1
10568	1
10569	1
10570	1
105703	1
10571	1
10573	1
105737	1
10574	1
10575	1
105757	1
10576	1
105763	1
105766	1
10577	1
105770	1
105787	1
105789	1
105790	1
105795	1
1058	1
10585	1
10586	1
105860	1
10587	1
105875	1
10588	1
10589	1
105891	1
1059	1
10590	1
105906	1
10591	1
10592	1
105942	1
105945	1
10596	1
105965	1
10597	1
105978	1
10598	1
105981	1
105983	1
10599	1
106	1
106006	1
10601	1
106016	1
106020	1
106021	1
106028	1
10603	1
10604	1
106042	1
106049	1
10606	1
10607	1
10608	1
10609	1
10610	1
10611	1
10612	1
106124	1
106129	1
10613	1
106135	1
106136	1
106139	1
106143	1
10615	1
10616	1
10617	1
10618	1
10619	1
106196	1
106199	1
10620	1
10622	1
10623	1
106230	1
10625	1
106254	1
106263	1
10627	1
10628	1
10629	1
10630	1
10631	1
10632	1
106326	1
10633	1
106337	1
10634	1
10635	1
10636	1
10637	1
106373	1
106388	1
10640	1
106402	1
106406	1
10641	1
10642	1
10643	1
10644	1
10646	1
10647	1
10648	1
106482	1
10649	1
10650	1
10651	1
106515	1
10652	1
10653	1
106537	1
10654	1
106541	1
10655	1
10656	1
10657	1
106573	1
10658	1
10659	1
106591	1
106599	1
10660	1
106605	1
10661	1
106622	1
106623	1
10663	1
106635	1
10664	1
106646	1
10665	1
10668	1
106685	1
10669	1
10670	1
10671	1
10673	1
10674	1
106747	1
10675	1
10676	1
10677	1
10678	1
10679	1
10680	1
10681	1
106813	1
106825	1
106828	1
10683	1
106833	1
106837	1
10684	1
106848	1
106849	1
10685	1
106851	1
10686	1
10687	1
10688	1
106882	1
10690	1
10691	1
10692	1
10693	1
106938	1
10694	1
10696	1
